timestamp,temperature,humidity,irradiance,wind_speed
2026-01-20 16:00:00,28.5,65.2,450,5.8
2026-01-20 16:05:00,29.1,66.0,460,6.02026-01-21 12:08:43,27.73,50.29,594.8,4.53
2026-01-21 12:09:43,24.95,57.13,728.96,2.94
2026-01-27 19:48:24,28.52,66.62,367.37,1.55
2026-01-27 19:53:24,27.02,50.35,219.93,7.16
2026-01-27 19:54:09,27.84,46.43,646.12,4.42
2026-01-27 19:54:09,28.97,51.68,503.88,3.81
2026-01-27 19:54:09,28.74,50.83,449.66,7.94
2026-01-27 19:54:09,28.29,47.95,489.42,6.61
2026-01-27 19:54:09,26.29,59.83,227.6,0.39
2026-01-27 19:54:09,21.37,66.1,636.95,9.06
2026-01-27 19:54:10,20.55,51.82,641.32,8.21
2026-01-27 19:54:10,22.11,48.73,452.07,2.53
2026-01-27 19:54:10,27.84,41.08,444.12,6.58
2026-01-27 19:54:10,26.56,52.32,688.47,3.24
2026-01-27 19:58:24,26.75,48.54,266.9,1.54
2026-01-27 20:03:24,28.09,44.19,362.63,3.03
2026-01-27 20:08:24,25.39,45.88,488.55,4.46
2026-01-27 23:16:26,21.56,40.41,369.14,1.66
2026-01-28 11:22:29,25.63,67.65,695.47,4.12
2026-01-28 11:27:29,21.12,61.45,794.05,4.39
2026-01-28 11:32:29,20.31,51.16,607.79,3.09
2026-01-28 11:37:29,21.22,54.06,205.11,9.26
2026-01-28 11:42:29,29.69,64.17,799.1,8.07
2026-01-28 11:47:29,29.04,48.99,682.63,5.49
2026-01-28 11:52:29,29.44,66.5,322.4,1.29
2026-01-28 11:57:29,27.96,59.92,418.92,3.95
2026-01-28 12:02:29,27.7,60.35,589.97,2.98
2026-01-28 12:07:29,22.1,48.55,276.26,9.56
2026-01-28 12:12:29,21.93,59.53,496.23,0.49
2026-01-28 12:17:29,23.15,49.11,748.14,7.42
2026-01-28 12:22:29,25.21,56.48,713.49,3.79
2026-01-28 12:27:29,22.34,69.62,474.24,3.26
2026-01-28 12:32:28,24.12,44.94,570.79,2.25
2026-01-28 12:37:28,28.77,58.31,402.06,0.2
2026-01-28 12:42:28,26.59,41.83,643.78,0.64
2026-01-28 12:47:28,25.45,41.66,371.91,5.46
2026-01-28 12:52:28,24.02,63.27,599.31,2.44
2026-01-28 12:57:28,29.81,40.97,602.05,5.57
2026-01-28 13:02:28,20.33,56.12,241.27,9.57
2026-01-28 13:07:28,29.09,43.94,367.47,8.8
2026-01-28 13:12:28,26.1,42.86,657.43,4.72
2026-01-28 13:17:28,25.45,65.71,222.66,9.02
2026-01-28 13:22:28,23.86,51.99,399.16,4.05
2026-01-28 13:27:28,20.92,42.04,648.97,0.16
2026-01-28 13:32:28,28.14,52.53,551.8,9.66
2026-01-28 13:37:28,20.45,44.67,265.89,5.76
2026-01-28 13:42:28,23.29,56.13,302.89,5.49
2026-01-28 13:47:28,28.24,59.59,214.49,7.24
2026-01-28 13:52:28,25.74,50.75,729.71,2.9
2026-01-28 19:38:40, 28.73, 45.5, 810.14, 0.33
2026-01-28 20:08:40, 34.0, 63.51, 607.5, 12.54
2026-01-28 20:38:40, 27.3, 52.18, 428.99, 6.45
2026-01-28 21:08:40, 26.09, 80.69, 507.9, 1.93
2026-01-28 21:38:40, 35.67, 79.69, 468.7, 7.49
2026-01-28 22:08:40, 31.99, 61.57, 391.94, 6.19
2026-01-28 22:38:40, 26.93, 58.62, 919.4, 8.36
2026-01-28 23:08:40, 37.78, 46.69, 1030.08, 1.03
2026-01-28 23:38:40, 26.36, 50.27, 211.47, 6.07
2026-01-29 00:08:40, 37.33, 83.68, 1198.97, 2.75
2026-01-29 00:38:40, 32.87, 75.46, 513.38, 1.81
2026-01-29 01:08:40, 28.76, 76.1, 1107.88, 6.94
2026-01-29 01:38:40, 27.69, 68.91, 896.6, 1.34
2026-01-29 02:08:40, 25.5, 65.94, 358.59, 14.81
2026-01-29 02:38:40, 37.16, 71.74, 722.5, 14.51
2026-01-29 03:08:40, 35.98, 83.81, 273.72, 10.09
2026-01-29 03:38:40, 33.93, 65.83, 674.84, 12.66
2026-01-29 04:08:40, 31.14, 74.59, 1071.41, 14.12
2026-01-29 04:38:40, 39.93, 51.32, 302.04, 9.43
2026-01-29 05:08:40, 28.0, 54.42, 485.27, 1.26
2026-01-28 19:38:40, 27.91, 84.95, 1182.25, 9.11
2026-01-28 20:08:40, 28.34, 74.87, 356.81, 9.85
2026-01-28 20:38:40, 26.1, 54.39, 561.64, 4.13
2026-01-28 21:08:40, 36.55, 67.56, 869.16, 12.92
2026-01-28 21:38:40, 38.78, 74.16, 577.08, 2.73
2026-01-28 22:08:40, 33.76, 60.41, 539.01, 10.62
2026-01-28 22:38:40, 25.8, 42.88, 858.94, 4.18
2026-01-28 23:08:40, 34.92, 43.91, 596.72, 1.08
2026-01-28 23:38:40, 26.06, 67.54, 517.22, 2.92
2026-01-29 00:08:40, 34.94, 68.16, 1051.88, 4.51
2026-01-29 00:38:40, 30.89, 83.8, 265.14, 2.25
2026-01-29 01:08:40, 36.86, 89.33, 833.61, 13.67
2026-01-29 01:38:40, 32.89, 67.19, 779.03, 8.53
2026-01-29 02:08:40, 36.93, 70.73, 1050.25, 0.32
2026-01-29 02:38:40, 27.82, 53.98, 1165.71, 1.53
2026-01-29 03:08:40, 33.04, 86.11, 916.87, 10.67
2026-01-29 03:38:40, 38.12, 49.6, 886.17, 12.39
2026-01-29 04:08:40, 35.71, 51.45, 831.98, 1.29
2026-01-29 04:38:40, 27.48, 62.03, 469.21, 8.94
2026-01-29 05:08:40, 27.94, 50.46, 345.82, 6.1
2026-01-30 17:22:43,25.65,45.99,240.84,4.26
