Data retrieved at: 2026-01-30 19:56:16 | Total rows: 157 | sim: 110 | unknown: 47

--- SIM DATA ---
id,timestamp,temperature,humidity,irradiance,wind_speed,source
1,2026-01-30 17:22:43,25.65,45.99,240.84,4.26,sim
2,2026-01-30 13:19:53,28.03,48.54,259.03,4.19,sim
3,2026-01-30 12:19:53,26.47,61.86,346.55,3.15,sim
4,2026-01-30 11:19:53,20.67,50.87,385.86,1.90,sim
5,2026-01-30 10:19:53,25.49,40.77,723.79,8.63,sim
6,2026-01-30 09:19:53,22.58,62.12,543.89,2.95,sim
7,2026-01-30 08:19:53,29.41,61.11,470.35,8.19,sim
8,2026-01-30 07:19:53,24.81,57.58,656.73,2.06,sim
9,2026-01-30 06:19:53,22.40,60.10,707.07,8.23,sim
10,2026-01-30 05:19:53,23.84,61.70,547.78,4.52,sim
11,2026-01-30 04:19:53,26.95,44.21,515.60,7.56,sim
12,2026-01-30 03:19:53,22.35,56.67,668.16,3.89,sim
13,2026-01-30 02:19:53,22.95,40.83,370.20,3.01,sim
14,2026-01-30 01:19:53,20.95,53.03,499.34,8.05,sim
15,2026-01-30 00:19:53,28.67,51.72,662.94,4.25,sim
16,2026-01-29 23:19:53,21.04,63.17,600.33,6.73,sim
17,2026-01-29 22:19:53,23.57,46.72,465.24,9.86,sim
18,2026-01-29 21:19:53,26.80,59.01,684.23,2.56,sim
19,2026-01-29 20:19:53,21.63,57.31,339.80,4.97,sim
20,2026-01-29 19:19:53,28.83,63.67,624.89,4.93,sim
21,2026-01-29 18:19:53,20.27,67.19,338.23,7.21,sim
22,2026-01-29 17:19:53,29.97,59.96,770.53,1.77,sim
23,2026-01-29 16:19:53,23.52,52.16,733.78,5.34,sim
24,2026-01-29 15:19:53,27.08,58.31,440.01,9.70,sim
25,2026-01-29 14:19:53,24.83,51.52,685.05,5.51,sim
26,2026-01-29 13:19:53,21.91,67.51,581.61,6.86,sim
27,2026-01-29 12:19:53,29.88,68.25,264.59,9.70,sim
28,2026-01-29 11:19:53,27.49,58.64,771.62,5.04,sim
29,2026-01-29 10:19:53,22.68,67.37,560.03,3.72,sim
30,2026-01-29 09:19:53,22.78,47.06,233.24,3.93,sim
31,2026-01-29 08:19:53,21.36,50.20,421.97,2.48,sim
32,2026-01-29 07:19:53,26.83,53.57,566.32,4.96,sim
33,2026-01-29 06:19:53,21.41,48.33,516.17,4.04,sim
34,2026-01-29 05:19:53,24.81,51.77,681.75,3.72,sim
35,2026-01-29 05:08:40,27.94,50.46,345.82,6.10,sim
36,2026-01-29 04:38:40,27.48,62.03,469.21,8.94,sim
37,2026-01-29 04:19:53,23.65,67.44,485.89,1.03,sim
38,2026-01-29 04:08:40,35.71,51.45,831.98,1.29,sim
39,2026-01-29 03:38:40,38.12,49.60,886.17,12.39,sim
40,2026-01-29 03:19:53,28.18,64.50,518.65,8.56,sim
41,2026-01-29 03:08:40,33.04,86.11,916.87,10.67,sim
42,2026-01-29 02:38:40,27.82,53.98,1165.71,1.53,sim
43,2026-01-29 02:19:53,27.92,46.29,611.97,2.32,sim
44,2026-01-29 02:08:40,36.93,70.73,1050.25,0.32,sim
45,2026-01-29 01:38:40,32.89,67.19,779.03,8.53,sim
46,2026-01-29 01:19:53,23.46,55.93,588.27,7.81,sim
47,2026-01-29 01:08:40,36.86,89.33,833.61,13.67,sim
48,2026-01-29 00:38:40,30.89,83.80,265.14,2.25,sim
49,2026-01-29 00:19:53,24.13,48.70,629.59,3.01,sim
50,2026-01-29 00:08:40,34.94,68.16,1051.88,4.51,sim
